   16384 ,      1 ,       1.91
   16384 ,      4 ,       5.82
   16384 ,     16 ,      11.59
   16384 ,     64 ,      14.01
   16384 ,    256 ,       8.10
   65536 ,      1 ,       2.10
   65536 ,      4 ,       6.92
   65536 ,     16 ,      18.91
   65536 ,     64 ,      21.25
   65536 ,    256 ,      12.04
  262144 ,      1 ,       2.13
  262144 ,      4 ,       7.16
  262144 ,     16 ,      19.73
  262144 ,     64 ,      23.69
  262144 ,    256 ,      12.81
 1048576 ,      1 ,       2.17
 1048576 ,      4 ,       7.20
 1048576 ,     16 ,      23.54
 1048576 ,     64 ,      28.48
 1048576 ,    256 ,      15.58
 4194304 ,      1 ,       1.98
 4194304 ,      4 ,       7.24
 4194304 ,     16 ,      23.57
 4194304 ,     64 ,      28.43
 4194304 ,    256 ,      15.59
16777216 ,      1 ,       1.97
16777216 ,      4 ,       7.16
16777216 ,     16 ,      23.44
16777216 ,     64 ,      28.11
16777216 ,    256 ,      15.62
